"","ZONAS","BASE","INAUGURAÇÃO","LOCAL"
"1","ZONA SUL","Flamengo","2015-12-01","Av. Praia do Flameno, sn Administração do Parque"
"2","ZONA SUL","Botafogo","2019-10-04","Praça Nelson Mandela"
"3","ZONA SUL","Copacabana","2017-12-03"," Rua Figueiredo de Magalhães (pátio do 19ºBPM)"
"4","ZONA SUL","Cristo Redentor","2020-08-26","Cristo Redentor"
"5","ZONA SUL","Ipanema","2019-01-03","Praça General Osório"
"6","ZONA SUL","Lagoa","2015-12-01","Av. Borges de Medeiros, 1444, (Parque das Figueiras)"
"7","ZONA SUL","Laranjeiras","2019-09-06","Largo do Machado, na rua do Catete"
"8","ZONA SUL","Leblon","2018-12-20","Praça Antero de Quintal, na Av. Ataulfo de Paiva"
"9","ZONA OESTE","Barra da Tijuca","2019-11-29","Av. Ayton Senna, 2000 (2ªCIA) em frente a Cidade das Artes"
"10","ZONA OESTE","Bangu","2019-09-20","Av. Conego de Vasconcelos, (calçadão)"
"11","ZONA OESTE","Jacarepaguá","2020-02-04","Estr. do Pau-Ferro, 435, Pechincha (18ºBPM)"
"12","ZONA OESTE","Recreio dos Bandeirantes","2019-12-19","Praça Tim Maia, sn (Posto 12)"
"13","ZONA NORTE","Bonsucesso","2020-01-22","Rua Professor Augusto Medeiros de Mota, (próximo a Praça das Nações)"
"14","ZONA NORTE","Irajá","2020-02-17","1ª base: Praça Nª Srª da Apresentação e 2ª base: Av. Bras de Pina. 1867, Vista Alegre"
"15","ZONA NORTE","Madureira","2020-01-28","Rua Tacaratu, 94 - Honório Gurgel (9ºBPM)"
"16","ZONA NORTE","Méier","2015-12-01","Rua Dias da Cruz, s/n - Praça Agripino Grieco"
"17","ZONA NORTE","Tijuca","2019-01-03","Praça Saens Peña"
"18","ZONA NORTE","Grajaú/Vila Isabel","2019-12-20","Praça Edmundo Rego"
"19","REGIÃO DO CENTRO","Centro","2016-07-26","Largo da Carioca"
"20","REGIÃO DO CENTRO","Centro","2016-07-16","Praça XV, (em frente as Barcas)"
"21","REGIÃO DO CENTRO","Centro","2016-07-04","Praça Mauá, (em frente ao Pier Mauá)"
"22","REGIÃO DO CENTRO","Centro","2016-10-01","Av. Presidente Vargas, (em frente ao antigo Palácio Itamarati)"
"23","REGIÃO DO CENTRO","Centro","2020-09-24","Praça Cruz Vermelha"
"24","REGIÃO DO CENTRO","Lapa","2014-01-01","Praça Cardeal Camara, (nos arcos da Lapa)"
